"Infrastruktur, Bauen & Wohnen",102888
Politik & Wahlen,73505
"Öffentliche Verwaltung, Haushalt & Steuern",32876
Despesa,31255
Umwelt,24090
Regierung und öffentlicher Sektor,23015
biota,22739
Regionen und Städte,21560
environment,21206
Bevölkerung,18126
Umwelt & Klima,17905
Local Government,17521
Receita,16554
"Landwirtschaft, Fischerei, Forstwirtschaft und Nahrungsmittel",16327
Transport & Verkehr,15929
Ambiente,14839
"Kultur, Sport & Tourismus",13839
Soziales,12703
Bevölkerung und Gesellschaft,12234
Wissenschaft und Technologie,11763
Land,11425
Wirtschaft und Finanzen,10871
Xã hội,9989
Governo e settore pubblico,9404
Verkehr,9098
Popolazione e società,8361
Regioni e città,7395
Gesundheit,6882
"Bildung, Kultur und Sport",6790
Wirtschaft & Arbeit,6577
climatologyMeteorologyAtmosphere,6453
OpenData,5909
Transparenzgesetz,5909
Energie,5628
Informação Contábil,5616
Spatial Data,5525
Sector público,5438
Open Access,5234
Economia e finanze,4838
"Justiz, Rechtssystem und öffentliche Sicherheit",4250
Legislación y justicia,4223
Local and regional government,3999
Gesetze & Justiz,3655
Lain-lain,3580
Bildung & Wissenschaft ,3546
生活,3536
"Geographie, Geologie &Geodaten",3447
Статистика,3425
Health,3302
Community,3144
"Istruzione, cultura e sport",2859
Scienza e tecnologia,2760
Land and Resource Management,2723
Trasporti,2508
South Africa,2492
Environment and conservation,2362
Verbraucherschutz,2329
Environment,2302
Plant Production and Health,2028
Financial Inclusion,1991
Inclusão Financeira,1965
Архивы сайтов,1940
Model Data,1910
Geographie und Stadtplanung,1875
Архивы государственных сайтов,1807
TilapiaMap,1781
Estadísticas de Gobierno,1760
Nigeria,1657
Medio ambiente,1650
Statistik Kebangsaan,1639
Population,1630
Pendidikan,1624
Education,1574
Finance,1483
Finanzas de Gobierno,1467
Transport,1398
Society,1349
boundaries,1302
Climatology,1302
Climate Indices,1258
Contratos,1254
Licitações,1254
Salud,1253
その他,1165
CLIMAPROOF,1107
Economia e Finanças,1089
Budget Vote Documents,1084
政策・統計等,1079
Economy,1071
23) การวิจัยและพัฒนานวัตกรรม,1000
Salute,986
ÖKS15,975
Urbanismo e infraestructuras,962
公共資訊,936
行財政,935
"RCP8.5 - ""Business as usual""",924
"RCP4.5 - ""Effective Measures""",895
Economy and finance,853
Educación,849
General,847
Agriculture and Fishing,842
Temperature,835
Infrastructure,825
Local government,815
สาขาเกษตรและประมง,748
Pertanian,745
Данные ЦБ РФ,721
ข้อมูลจากหน่วยงานภายนอก,720
Government,686
Bias corrected,686
Gobierno,685
Social Services,677
Economía,673
Precipitation,663
الأمن الغذائي,662
United States,656
Climate,655
Ekonomi,642
Adjusted Budget Vote Documents,635
Bancian,622
環境,613
Kesihatan,608
population,591
16) เศรษฐกิจฐานราก,591
Government reporting and policy,590
Transporte,584
Kenya,584
Данные системы ЕСИМО,581
Science,580
Burkina Faso,569
Population and society,567
18) การเติบโตอย่างยั่งยืน,567
Transport and Communications,567
สาขาทรัพยากรธรรมชาติและสิ่งแวดล้อม,554
الزراعة,546
World,545
Trade (internal and external),543
habitat,541
教育・文化・スポーツ・生活,536
Transportation,535
DFW Publications,529
Gesundheit ,521
Local Authority,519
Liikenne,516
司法・安全・環境,515
Statistics,514
Sozialleistungen,509
4) อุตสาหกรรมและบริการแห่งอนาคต,508
Education and Training,505
Haleandhearty,497
Alam Sekitar,485
9) เขตเศรษฐกิจพิเศษ,482
Energía,477
Biota,470
Pemerintahan,469
"Agricoltura, pesca, silvicoltura e prodotti alimentari",467
医療・福祉,464
Estadísticas,463
11) การพัฒนาศักยภาพคนตลอดช่วงชีวิต,460
大気環境,458
統計數據,457
8) ผู้ประกอบการและวิสาหกิจขนาดกลางและขนาดย่อมยุคใหม่,454
Energia,453
Property and Planning,438
Economía y finanzas,437
Dominican Republic,434
Fiscal Openness,433
"Environnement, ressources naturelles et énergie",431
Ethiopia,425
แผนปฏิบัติงาน/การดำเนินงาน/โครงการ,421
Infrastructures,415
Социологические опросы,415
Colombia,413
15) พลังทางสังคม,412
Aménagement et urbanisme,409
Administration et action publique,407
Sociedad y bienestar,400
South Sudan,397
Κυβέρνηση και δημόσιος τομέας,397
oceans,395
Environnement et climat,395
Accounts Financial Monetary Affairs and Industry,393
Alueet ja kaupungit,388
Uganda,387
Cultura,381
19) การบริหารจัดการน้ำทั้งระบบ,381
Democratic Republic of the Congo,376
Hacienda,375
Right to Information,374
Sudan,373
Somalia,372
Afghanistan,369
Maps and geospatial,368
まちづくり,363
Engineering,358
SLIP Data Downloads ,352
Gouvernement et finances,345
เซนเซอร์,341
International Trade ,336
6) พื้นที่และเมือง น่าอยู่อัจฉริยะ,333
Labor Force,332
Банки и кредитные небанковские организации,332
Public Service Delivery,331
Mozambique,329
Business,328
12) การพัฒนาการเรียนรู้,326
"Water, energy, resources, environment and science",323
water,320
City Administration,320
Ympäristö ja luonto,319
Pacific Women Lead,319
Ver- und Entsorgung,315
7) โครงสร้างพื้นฐาน ระบบโลจิสติกส์ และดิจิทัล,315
Statistik,313
Өгүүлэл,313
Mali,312
Chad,311
Bangladesh,310
Cameroon,310
統計年鑑,310
Social Justice,310
Saúde,309
Syrian Arab Republic,309
تسجيل الأعمال التجارية,308
Philippines,307
Arab Gulf Cooperation Council (GCC),307
Demografía,306
Seguridad,305
Niger,303
คู่มือ/รายงาน/บทความ,303
自然環境,302
Population and Housing,300
Gestión Pública,296
Nepal,295
Ordenamiento Territorial,293
Internationale Themen,288
Agriculture and Allied Activities ,288
Turismo,284
Human Services,282
Governance,280
Statistical downscaling,279
統計・調査・報告・観測データ,277
Indonesia,276
Ghana,276
Malawi,272
Social Insurance,271
Senegal,268
Soc.Demográfico,264
Economia,263
Economic Sector,263
"Culture, patrimoine et tourisme",262
الطاقة,262
Transparencia,260
Science and research,260
Desarrollo Social,259
Natural Resource Management,259
Boundaries,258
Tanzania,258
HPO HIPE,257
"Giustizia, sistema giuridico e sicurezza pubblica",257
Haiti,256
企業・家計・経済,256
Civic Infrastructure,254
Central African Republic,253
市政,252
FuSE-AT,251
Empleo,250
税金,249
Pemetaan,247
rajapinnat,247
社会保障・衛生,245
"Syria, Conflict, 2013-2015",243
Rakennettu ympäristö ja infrastruktuuri,242
Burundi,241
Observed Data,240
France,240
Zambia,239
Mauritania,235
Madagascar,235
Pengangkutan,234
Citoyenneté et démocratie,233
Labor Market,232
Trabajo,231
Wetter und Leben,230
Zimbabwe,229
Myanmar,229
公共安全/防救災/環保,229
Vivienda,228
economia,228
Pakistan,227
Perbelanjaan Kerajaan,226
統計,225
land use and development,225
Medio Ambiente,223
Ecuador,220
統計書,220
13) การเสริมสร้างให้คนไทยมีสุขภาวะที่ดี,219
Planning & Development,219
Iraq,217
Energy,216
区政情報,216
Guatemala,215
Meteo,214
Radiation,213
防災・災害計画,212
Rwanda,211
"RCP2.6  - ""Turnaround""",211
Geografía,211
datos-regionales,211
Ποιότητα ζωής,210
労働・賃金,209
Community Services,209
kartat,209
Education Outcome,208
Transparency,208
Housing,207
Comunidad,207
人口・世帯,205
Communications,205
Bajet,205
Raumplanung,205
Guinea,204
交通,203
那須塩原市,203
Mobility,202
Employment,202
購屋及遷徙,202
Bauen und Wohnen,201
Perdagangan Antarabangsa,199
Liberia,199
人口減少・少子高齢化,199
"Social, santé et sports",198
Yemen,198
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,196
Honduras,196
"Honduras and regional: Hurricane Eta and Iota, November 2020",196
Открытые данные Москвы,195
United Republic of Tanzania,194
Sierra Leone,194
Федеральные органы власти Российской Федерации,194
Benin,193
Bevölk­erung,193
Pendaftaran Syarikat,190
STARC-Impact,188
物質循環,188
Planificación,188
Weather Conditions,188
Finanzas,187
Business and Economy,186
"The Bahamas: Hurricane Dorian, September 2019",186
Freedom of Information,186
Официальные новостные данные,185
Canada,184
משרד המשפטים,183
Public Works,183
Kabupaten Kutai Timur,182
Genealogie,181
เมืองและภูมิภาค,180
"Food, Civil Supplies and Co-operation",180
観光,178
Mobilité et transports,177
産業雇用創出,177
Crime and Community Safety,177
Οικονομική δραστηριότητα,177
PerSys,176
Governo e Finanças Públicas,176
Angola,176
Activités végétales,175
Djibouti,175
"Uddannelse, kultur og sport",174
สถิติทางการ,173
"Housing, land, planning and infrastructure",173
Economía y Finanzas,173
สาขายุติธรรม ความมั่นคง การเมืองและการปกครอง,173
สาขาการท่องเที่ยวและกีฬา,173
Política,171
Brazil,170
Young People,170
Gobierno y sector público,170
Роспотребнадзор,170
Educação,169
Performance Management ,169
Sciences,168
其他行政,167
Sociedad,166
สาขาสุขภาพ,166
Statistica,165
Botswana,164
Infrastrutture e trasporti,164
คำสั่ง,163
Council and democracy,163
戶籍/地政,162
rakennettu-ymparisto,162
HPO NPRS,161
Hallinto ja julkinen sektori,160
Recreation,160
Public service,160
สาขาสวัสดิการสังคม,159
Health & Public Safety,159
Limites administratives et référentiels,159
Ukraine,158
Occurrence,158
State of Palestine,158
休閒旅遊,158
Lesotho,156
"Agroganadería, pesca y forestación",156
大田原市,156
Viet Nam,155
Côte d'Ivoire,154
Health Sciences,154
健康/照護/社福,154
สาขาการศึกษา,154
"The Philippines: Typhoon Haiyan (Yolanda), November 2013",154
Φυσικά χαρακτηριστικά,153
City Bylaws,152
Economy and Planning,151
施設,150
Gambia,149
vaesto,149
Urban Development and Housing ,149
BMA City Data ,148
المال والمصارف,148
الإنتاج الغذائي الوطني,148
Lebanon,148
Land Cover,147
State sector performance,147
ei-publications,147
Imagerie et occupation du sol,147
Peru,146
Geospatial,146
Wirtschaft,146
Väestö ja yhteiskunta,145
Société et culture,145
Social,144
Türkiye,144
Genetic Improvement and Biotechnology,144
استيراد وتصدير الأغذية,142
Sampling Event,142
"Mer, littoral et montagne",142
China,141
Regioner og byer,141
"Equipements, bâtiments et logement",141
Kesehatan,140
Azerbaijan,139
Mexico,139
Economia e finanza,139
Rural Development and Panchayati Raj Institutions,139
広報きたもと,139
Energies et réseaux,138
Japan,138
Политика и выборы,138
Ciencia y tecnología,137
Lingkungan,137
Meio Ambiente,136
住宅・土地・建設,136
India,136
Access to Public Record Requests and Responses,136
Gobiernos Locales,136
Tourism,135
Scaled distribution,135
Libya,135
Algeria,135
Finances,135
Monitoring Agencies,135
สังคมและสวัสดิการ,134
Trade,134
Chile,134
"Fiji: Cyclone Winston, February 2016",134
Irrigation and Water Resources,134
ESA GlobPermafrost,133
其他,133
Togo,132
Namibia,132
"Segurança, Crime, Violência, e Conflito",131
国土・気象,131
Venezuela (Bolivarian Republic of),131
Inland Waters,131
Basis­karten,131
الإحصاءات الحيوية,130
Prices and Indices,130
Eritrea,130
Servicios Públicos,130
สถิติเทคโนโลยีสารสนเทศและการสื่อสาร,129
Cambodia,129
aluesarjat,129
Demographics,128
Water,128
Egypt,128
สาขาแรงงาน,128
Hydrology,127
Italy,127
施設案内,127
"Formation, éducation et emploi",126
El Salvador,126
生活安全及品質,126
"Loi, justice et sécurité publique",126
Reference Files,126
"Vanuatu: Cyclone Pam, March 2015",126
Miljø,126
Congo,125
สถิติสุขภาพ,124
Guinea-Bissau,124
"Öffentliche Verwaltung, Haushalt und Steuern",124
Economie et entreprises,123
水環境,123
Ekonomika un uzņēmējdarbība,123
Mobilität,123
Ver­walt­ung,123
Life Sciences,122
Negocios,122
สาขาการค้าและราคา,122
Humidity,121
Perundangan,121
Poland,121
Morocco,121
Deporte,121
Imagery + Basemaps,121
Kyrgyzstan,120
สาขาการขนส่งและโลจิสติกส์,120
Органы прокуратуры,120
สถิติแรงงาน,119
Environment and Forests,119
富山県の写真,119
Kependudukan,118
United Kingdom,118
健康・福祉,118
Climate Change Adaptation,118
Gabon,117
Sector Público,117
משטרת ישראל,117
Công nghệ,117
Health Facilities,116
National Accounts ,116
Planning,116
台灣歷史文化空間 / Taiwan History and Culture in Time and Space,115
Tunisia,115
GIS Data,115
Demographie,115
Civic Spaces & Citizen Engagement,115
Societate,114
Eswatini,114
交通情報,114
Upper Bulkley Watershed Collection,114
Education & Technical Development ,114
Landscape Dynamics,113
Comoros,113
Jamaica,113
Chief Executive Expenses,112
Jordan,112
Energy and Water,112
Land Use & Development,112
Industria,111
Jenayah,111
"Nepal: Earthquake, April 2015",111
Lao People's Democratic Republic,110
Talous ja rahoitus,109
Iedzīvotāji un sabiedrība,109
"Tourisme, sports et loisirs",109
Lao động,109
Nicaragua,108
بيئة إنتاج الغذاء,108
ymparisto-ja-luonto,108
Agropecuario y Pesca,108
สาขาประชากรศาสตร์ ประชากรและเคหะ,108
"Kulttuuri, taide ja vapaa-aika",107
Bolivia (Plurinational State of),107
infrastructure,107
Frameworks for Conditional Grants to Provinces,107
משרד האוצר,107
الإعانات الإجتماعية,106
Netherlands,106
Fiji,106
"Arts, culture & history",106
Consultation,106
Reģioni un pašvaldības,105
Thailand,105
Papua New Guinea,105
Cabo Verde,105
Mauritius,105
Equatorial Guinea,105
Historical,105
Community information and citizen services,105
liikenne-ja-matkailu,105
הנהלת בתי המשפט,105
Hubungan Sosial Kemasyarakatan,105
Educaţie,104
Land Monitor,103
Sao Tome and Principe,103
Community services,103
Health and wellbeing,103
Power and Energy,103
Layanan Publik,103
Μεταφορές,103
"Sciences, recherche et innovation",103
Cultura e Arte,102
Education Facilities,102
Health outcome,102
Tajikistan,102
Τεχνικές Υποδομές,102
Vanuatu,101
vegetation/ecology,100
Morice Watershed Collection,100
สาขาอุตสาหกรรม,100
"Pakistan: Floods, August 2010",100
"Sri Lanka: Tsunami, December 2004",100
"Ciência, Tecnologia e Inovação",99
防災,99
Economie şi Sectorul Privat,99
Sănătate,99
Democratic People's Republic of Korea,99
ธรรมนูญสุขภาพพื้นที่,98
Workforce,98
Academic Access by Agreement,97
Public Health Outcomes Framework,97
Germany,97
Seychelles,97
Comunicaciones,97
Giáo dục,97
"Agriculture, sylviculture et pêche",96
運輸・観光,96
Monthly Diagnostic Waiting Times and Activity,96
Finance Management,96
Natural Resources,96
Costa Rica,96
Environment and NRM,96
Transport und Verkehr,96
Economía y Hacienda,96
Planning + Cadastre,96
แผนงาน งบประมาณ,96
"Agriculture, Livestock & Fisheries ",96
Argentina,95
Судебные инстанции,95
Γεωχωρικά/Γεωσκόπηση και Περιβάλλον,95
Digital Agriculture,94
Pemilikan Tanah,94
Panama,94
Guyana,94
Cuba,94
Employment and Skills,94
Innovación y Tecnología,94
Avsluttet/Utløpt,94
Russian Federation,93
State Investment Commission Reports,93
Banking and Finance,93
Open Data Migration Group,93
Industry,93
Ensino,92
الأمن والعدالة,92
Sri Lanka,92
Armenia,92
Publications library,92
"Sierra Leone: Ebola, October 2014",92
População,91
Paraguay,91
Urbanismo y territorio,91
Czechia,91
"Education, skills and learning",91
Transparent Tennessee ,91
Geociências,90
Administración pública,90
Valsts pārvalde,90
Spain,90
Business and economic,90
Older Adults Health Data Collection,89
登革熱,89
Business Support and Regulation,89
Dominica,89
Anagrafe e servizi civici,89
Ambiente y Desarrollo Sostenible,89
"Infrastruktur, Bauen und Wohnen",89
Council Facilities,88
Ireland,88
Bahamas,88
Land Use and Development,88
Στατιστικά Στοιχεία,88
Technology,87
Clima,87
משרד החינוך,87
Community & Recreation,87
Direct Access Audiology,86
Роструд,86
くらし・健康・教育,86
Budget et Subvention,86
3) การเกษตร,85
Росфиннадзор,85
Redes de Transporte,84
Открытое правительство и открытые данные (с 2017 года),84
申請書,84
Map Archive,83
Malaysia,83
Socio-economy and Agribusiness,83
治安,83
Salud y Protección Social,83
地球環境,82
Uruguay,82
Location,82
Tematiche internazionali,82
เศรษฐกิจและการตลาด,82
Архивы официальных микроблогов,82
Government Administration,81
Public safety,81
Società,81
Korpora,81
الإحصاءات الإجتماعية,80
Romania,80
Greece,80
Kazakhstan,80
就業構造基本調査,80
Сургалтын материал,80
"Мэдээ, мэдээлэл",80
sensors.AFRICA Air Quality Archive,80
Covid-19,80
Iran (Islamic Republic of),79
ด้านเศรษฐกิจ,79
Structures / Infrastructure agricole,78
Trinidad and Tobago,78
สาขาเทคโนโลยีสารสนเทศและการสื่อสาร,78
"Haiti: Earthquake, January 2010",78
Hotspot Region of Permafrost Change,77
City Services,77
Mid Columbia-Kootenay,77
Solomon Islands,77
Albania,77
SLIP Public Environment Service,76
Território,76
Assets,76
Maldives,76
Bhutan,76
kulttuuri-ja-vapaa-aika,76
Transport Terrestre,76
datos-historicos,76
Información Geográfica,76
Politiques sociales,76
17) ความเสมอภาค และหลักประกันทางสังคม,76
الميزانيّة,76
ความมั่นคง,76
Agropecuária,75
Freshwater,75
Belize,75
"Justicia, seguridad y legales",75
sociedad,75
Santé,75
สาขาพลังงาน,75
農林水産業,74
Uzbekistan,74
Timor-Leste,74
Slovakia,74
Republic of Moldova,74
Hungary,74
Georgia,74
Belarus,74
Antigua and Barbuda,74
Roads & Transportation,74
"Fiscal, tax and economics",73
SLIP Public Property and Planning Service,73
Economia e Sociedade,73
Statistical Services,73
Primary Industries,73
Kontrak Awam,73
Tonga,73
Mongolia,73
Sumber Daya Manusia (SDM),73
21) การต่อต้านการทุจริตและประพฤติมิชอบ,73
ภัยธรรมชาติ,73
Perencanaan Kota,73
Infrastruktur,73
Cultura y ocio,72
Bulgaria,72
Belgium,72
North Macedonia,72
22) กฎหมายและกระบวนการยุติธรรม,72
Wirtschaft und Arbeit,72
"Agropecuária, Extração Vegetal e Silvicultura",71
คมนาคมและโลจิสติกส์,71
Policy,71
Switzerland,71
Serbia,71
"Transport, travel and motoring",71
Coastal Collection,71
Istruzione,71
Budgets for Justice,71
ความเสมอภาคและหลักประกันทางสังคม,71
APGC latest,70
United Arab Emirates,70
Portugal,70
Austria,70
Medio rural y pesca,70
ข่าว/ประชาสัมพันธ์,70
Ward Profiles,69
Finanţe şi Buget,69
Sweden,69
Slovenia,69
Denmark,69
Bosnia and Herzegovina,69
Puerto Rico,69
Saint Lucia,69
Israel,69
Reports & Publications,69
Union Budget,69
Газрын зураг,69
Biogeochemistry,68
Saudi Arabia,68
Micronesia (Federated States of),68
Kiribati,68
Finland,68
Croatia,68
Barbados,68
Aruba,68
Suriname,68
Samoa,68
Nepal Earthquake,68
Regioni,68
"Bolivia, Floods, January 2008",68
Properties & Extent,67
Marshall Islands,67
Kuwait,67
Estonia,67
Saint Vincent and the Grenadines,67
Oman,67
สาขาการคลัง,67
Geoscientific,67
Budget and Government Spending,67
"Pakistan: Displacement, June 2009",67
Infraestrutura e Transportes,66
economy,66
人口,66
Australia,66
Nauru,66
Maps,66
Lakelse Watershed Collection,66
การเพาะปลูกพืช,66
2) การต่างประเทศ,66
Woman,66
エネルギー・水,65
Delayed Transfers of Care,65
Palau,65
Cyprus,65
Malta,65
Bahrain,65
สถิติการค้าและราคา,64
City Of Citizens,64
子育て,64
03. 地理與地方 / Geography and places,64
Qatar,64
Lithuania,64
Republic of Korea,64
Tuvalu,64
Saint Kitts and Nevis,64
Turks and Caicos Islands,64
Cayman Islands,64
Art and Culture,64
Población y sociedad,64
Арбитражный суд,64
"Iraq: Conflict, June 2014",64
Environmental,64
สถิติรายได้และรายจ่ายของครัวเรือน,63
HDX: Humanitarian Data Exchange,63
Singapore,63
Grenada,63
สาขาศาสนา ศิลปะ วัฒนธรรม,63
กฏ/ระเบียบ/ประกาศ,63
Данные ЕГЭ и ГИА,63
Đất đai,63
Tiede ja teknologia,62
COVID-19,62
Road Accidents,62
Держава,62
Latvia,62
Emergency Management,62
醫療,62
Territorio ed ambiente,62
Gender,62
"Java, Indonesia: Earthquake and volcano, May 2006",62
"The Philippines: Typhoon Washi (Sendong), January 2012",62
よくあるご質問,62
子育て・教育,61
New Zealand,61
Montenegro,61
Luxembourg,61
Iceland,61
New Caledonia,61
交通及通訊,61
National,61
"Mozambique: Cyclone Idai, March 2019",61
選挙,61
Habitat,61
GovHack,60
Air quality,60
Social Sciences and Law,60
hallinto-ja-paatoksenteko,60
datos-municipales,60
"Sumatra, Indonesia: Earthquake, September 2009",60
ศักยภาพคนตลอดช่วงชีวิต,60
Population ,59
Movilidad,59
Department of Planning and Environment—Water            ,59
Flora of New Zealand,59
"Peru: Floods, March 2017",59
Revenue and Taxation,59
Startup Weekend,58
การเมืองและการปกครอง,58
مدخلات سلسلة توريد الغذاء,58
Critical Care Bed Capacity,58
Brunei Darussalam,58
French Polynesia,58
Structure,58
Comercio e Industria,58
เกษตรกร/สถาบันเกษตรกร,58
budget.gov.ru,58
"Libya: Conflict, March 2011",58
משרד ראש הממשלה,58
Living,57
ประกาศ,57
08. 自然與物理科學 / Natural and physical sciences,57
Bermuda,57
American Samoa,57
"China, Hong Kong Special Administrative Region",57
​​Volks​­wirt​­schaft,57
Économie et entreprises,57
แหล่งน้ำและการชลประทาน,57
Бюджеты,57
"Geographie, Geologie und Geobasisdaten",57
Terveys,56
สถิติประชากรศาสตร์ ประชากรและเคหะ,56
Biodiversité et environnement,56
情報通信・科学技術,56
保健・健康・衛生,56
A&E Attendances and Emergency Admissions,56
Norway,56
Curaçao,56
Andorra,56
Guam,56
Kota Bontang,56
Lake Babine Fisheries Collection,56
Frameworks for Conditional Grants to Municipalities,56
Obras y Servicios Públicos ,56
Regionen und  Städte,56
Môi trường,56
การพัฒนาการเรียนรู้,56
Befolkning og samfund,56
Société,56
Interesting Historical Photography,55
Liechtenstein,55
British Virgin Islands,55
Umwelt und Klima,55
Οικονομία και χρηματοοικονομικά θέματα,55
Societal Debates,54
Food Security Environment,54
12. 社會與社會科學 / Society and social sciences,54
Monaco,54
Turkmenistan,54
United States Virgin Islands,54
Έκταση - Πληθυσμός,54
Wind,53
Previdência,53
Referral to Treatment Waiting Times,53
Faroe Islands,53
"China, Macao Special Administrative Region",53
Farming,53
Climate Change,53
Plant Names Database,53
Governo,53
Land and Sea Use/Cover,53
Βιβλιοθήκη καλών και κακών πρακτικών Αστικού Σχεδιασμού,53
Koulutus ja urheilu,52
กฎหมาย,52
Events,52
Hospital Activity,52
Law and Order,52
Planning - Cadastre,52
Χάρτες,52
"Indonesia: Earthquake and tsunami, October 2018",52
"Malawi: Floods, January 2015",52
משרד החקלאות ופיתוח הכפר,52
Υγεία,52
Others,51
生態檢核 / Eco-check,51
Health Care,51
San Marino,51
Gibraltar,51
Geoscience,51
Arts and culture,51
"Business, industry and trade",51
"Educación, cultura y deportes",51
המשרד לשוויון חברתי (אזרחים ותיקים),51
Kart/Map,51
Харилцаа холбоо,51
Arctic Methane and Permafrost Challenge,50
Contrats pétroliers,50
Alimentación,50
Violencia,50
Data Innovation Program,50
TransportHack,50
SLIP Public Water Service,50
Meriluonto ja lajisto,50
Ambiente e Energia,50
