Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Bebauungsplan,450582,,Keyword,Planning / Cadastre,REGI,
Bodennutzung,428745,,Keyword,Planning / Cadastre,REGI,
earth science > paleoclimate > tree ring,343833,,Keyword,Geoscientific Information,,
Bauleitplan,338062,,Keyword,Planning / Cadastre,,
Bebauungspläne,280254,,Keyword,Planning / Cadastre,,
Bauleitpläne,265564,,Keyword,Planning / Cadastre,,
Bauvorschrift,255069,,Keyword,Structure,,
Bauplatz,255023,,Keyword,Structure,,
Bauplätze,253019,,Keyword,Structure,,
planningCadastre,215786,Geonetwork,Theme,Planning / Cadastre,,
geoscientificInformation,215414,Geonetwork,Theme,Geoscientific Information,,
imageryBaseMapsEarthCover,201321,Geonetwork,Theme,Imagery / Base Maps / Earth Cover,,
PlannedLandUse,181607,,Keyword,Planning / Cadastre,,
"Planungsunterlagen, Kataster",166956,,Keyword,Planning / Cadastre,,
Geoscientific information,133467,,Keyword,Geoscientific Information,,
oceans,108287,Geonetwork,Theme,Oceans,ENVI,
"Infrastruktur, Bauen & Wohnen",102888,CKAN,Theme,Structure,REGI,
latitude,100227,,Keyword,Location,,
longitude,100071,,Keyword,Location,,
Bauleitplanung,99130,,Keyword,Planning / Cadastre,,
Oceans,92235,,Keyword,Oceans,ENVI,
earth science,89841,,Keyword,Geoscientific Information,,
ocean,84483,,Keyword,Oceans,ENVI,
climatologyMeteorologyAtmosphere,81363,Geonetwork,Theme,Climatology / Meteorology / Atmosphere,ENVI,
environment,77224,Geonetwork,Theme,Environment,ENVI,
Oberflächenbeschreibung,75303,,Keyword,Imagery / Base Maps / Earth Cover,,
Politik & Wahlen,73505,CKAN,Theme,,GOVE,
Geobasisdaten,66715,,Keyword,Imagery / Base Maps / Earth Cover,,
"Climatology, meteorology, atmosphere",65128,,Keyword,Climatology / Meteorology / Atmosphere,ENVI,
Municipal,55841,,Keyword,,REGI,
environment,55323,,Keyword,Environment,ENVI,
atmosphere,48597,,Keyword,Climatology / Meteorology / Atmosphere,ENVI,
biosphere,46629,,Keyword,Biota,ENVI,
Imagery base maps earth cover,46311,,Keyword,Imagery / Base Maps / Earth Cover,,
sea_water_temperature,46243,,Keyword,"Inland Waters,Oceans",,
oceanography,40887,,Keyword,"Inland Waters,Oceans",,
Environment,38892,,Keyword,Environment,ENVI,
Geoinformation,38062,,Keyword,Imagery / Base Maps / Earth Cover,,
water,37978,,Keyword,"Inland Waters,Oceans",,
Geology,36039,,Keyword,Geoscientific Information,,
