Locational banking statistics	1083598	Economy and finance	Economy
International debt securities (BIS-compiled)	441836	Economy and finance	Economy
Consolidated banking statistics	438592	Economy and finance	Economy
Performance	373994	Economy and finance	Economy
Nordic Archaeology	329015	Education, culture and sport	
planningCadastre	325474	Regions and cities	Planning / Cadastre
Learning Outcomes	302186	Education, culture and sport	
oceans	229865	Environment	Environment
geoscientificInformation	229557		Geoscientific Information
Secondary	226304		
geospatial	213677		
Attainment	200464		
environment	186946	Environment	Environment
Geoscience	178915	Science and technology|Environment	Geoscientific Information
Triennial Survey	155984		
climatologyMeteorologyAtmosphere	141972	Environment	Environment
imageryBaseMapsEarthCover	141584	Environment	Imagery / Base Maps / Earth Cover
Usage	129720		
Learning Poverty	129200	Education, culture and sport	Society
Social Protection & Labor	125328	Population and society	Society
Primary	124848		
Infrastruktur, Bauen & Wohnen	109594	Regions and cities	Structure
Model	102497		
Sea Surface Temperature Forecast	85149	Environment	Climatology / Meteorology / Atmosphere|Oceans
Politik & Wahlen	80657	Government and public sector	
Quintile: Health	78120	Health	Health
Wellbeing	73968	Health	Health
biota	71753	Environment	Biota
Education Equality	68000	Education, culture and sport	Society
Population	65497	Population and society	Society
Social Sciences	56425	Education, culture and sport	Society
Mitigation	46640		
Tertiary	42432		
Gender	41553	Population and society	Society
Early Childhood Education	41344	Education, culture and sport	Society
Debt securities statistics	40858	Economy and finance	Economy
Health: Population: Structure	39159	Health	Health
Local Government	38843	Government and public sector|Regions and cities	
Öffentliche Verwaltung, Haushalt & Steuern	37919	Government and public sector	Economy
Arts and Humanities	37594	Education, culture and sport	Society
Health: Risk factors	36842	Health	Health
Bevölkerung und Gesellschaft	33895	Population and society	Society
Despesa	33462	Government and public sector	
Teachers	31826	Education, culture and sport|Government and public sector|Economy and finance	Society
Umwelt	31177	Environment	Environment
Access	30671		
Education Expenditures	30464	Education, culture and sport	Society
Regierung und öffentlicher Sektor	27885	Government and public sector	Economy
Regionen und Städte	26720	Regions and cities	
Country profile	26620	Economy and finance	Economy
Economic Policy & Debt: Official development assistance	25057	Economy and finance	Economy
elevation	24404		Elevation
Social Protection & Labor: Economic activity	23332	Economy and finance	Society
Private Sector & Trade: Business environment	22098	Economy and finance	Economy
Land	21851	Regions and cities	Planning / Cadastre
Bevölkerung	21347	Population and society	Society
Literacy	21216	Education, culture and sport	Society
Health: Mortality	21114	Health	Health
Landwirtschaft, Fischerei, Forstwirtschaft und Nahrungsmittel	20663	Agriculture, fisheries, forestry and food	Farming
Public Sector: Policy & institutions	20642	Government and public sector	
Umwelt & Klima	20006	Environment	Environment
International Aid to Education	19734	Education, culture and sport	Society
Photon and Neutron Science	19506	Science and technology	
Usage of Financial Services	18228	Economy and finance	Society
Transport & Verkehr	18017	Transport	Transportation
Receita	17672	Government and public sector	
Wirtschaft und Finanzen	16336	Economy and finance	Economy
Oceans	16244	Environment	Oceans
Verkehr	16238	Transport	Transportation
Education: Outcomes	15922	Education, culture and sport	Society
Earth and Environmental Sciences	15718	Science and technology|Environment	Geoscientific Information
Statistical Performance	15624		
Education: Participation	15524	Education, culture and sport	Society
Kultur, Sport & Tourismus	15471	Education, culture and sport	
boundaries	15317		Boundaries
Wissenschaft und Technologie	14650	Science and technology	
Soziales	14275	Population and society	Society
Violence	14045	Population and society	Society
Engaging the Private Sector (SABER)	13872	Economy and finance	Economy
transportation	13853	Transport	Transportation
Financial Sector: Access	13558	Economy and finance	Economy
Medicine, Health and Life Sciences	13439	Health	Health
Environment: Emissions	13086	Environment	Environment
Health	12906	Health	Health
Education: Inputs	12847	Education, culture and sport	Society
inlandWaters	12683	Environment	Inland Waters
location	12665		Location
Regions and cities	12593	Regions and cities	
Health: Disease prevention	12501	Health	Health
Infrastructure: Communications	11996	Regions and cities	Utilities / Communication
Other	11924		
Environment: Energy production & use	11847	Energy|Environment	Environment
Bildung, Kultur und Sport	11355	Education, culture and sport	
Biodiversity	10980		Biota
Nearshore Sea State Forecast From SWAN	10940	Environment	Climatology / Meteorology / Atmosphere|Oceans
{"de": "Umwelt", "en": "Environment", "fr": "Environnement", "it": "Ambiente"}	10889	Environment	Environment
Quintile: Population	10850	Population and society	Society
Education	10828	Education, culture and sport	Society
Gesundheit	10641	Health	Health
B2SHARE	10592		
society	10430	Population and society	Society
Social Protection & Labor: Labor force structure	10404	Population and society	Society
Private Sector & Trade: Exports	10248	Economy and finance	Economy
Health: Health systems	10238	Health	Health
OTC derivatives outstanding	9920		
Social Protection & Labor: Unemployment	9904	Population and society	Society
Technology Skills	9792		
Economic Policy & Debt: External debt: Net flows	9196	Economy and finance	Economy
Economic Policy & Debt: Balance of payments: Current account: Goods, services & income	9022	Economy and finance	Economy
da|ra	8850		
Health: Nutrition	8665	Health	Health
Private Sector & Trade: Tariffs	8502	Economy and finance	Economy
Employment and Time Use	8480	Population and society	Society
Private Sector & Trade: Imports	8143	Economy and finance	Economy
structure	8008	Regions and cities	Structure
Economic Policy & Debt: External debt: Debt outstanding	7996	Economy and finance	Economy
Economic Policy & Debt: National accounts: Adjusted savings & income	7980	Economy and finance	Economy
School Autonomy and Accountability (SABER)	7888	Education, culture and sport	Society
Teachers (SABER)	7888	Education, culture and sport	Society
Meteo	7767	Environment	Environment
Health: Universal Health Coverage	7612	Health	Health
Economic Policy & Debt: National accounts: Shares of GDP & other	7452	Economy and finance	Economy
Environment: Agricultural production	7418	Agriculture, fisheries, forestry and food	Farming
Wirtschaft & Arbeit	7219	Economy and finance	Economy
Social Protection & Labor: Performance	7182	Population and society	Society
Environment: Land use	7069	Environment	Environment
Environment	7066	Environment	Environment
utilitiesCommunication	6862	Regions and cities	Utilities / Communication
Depth	6750		Elevation
Informação Contábil	6734	Government and public sector	
Trading across borders	6603	Economy and finance	Economy
farming	6597	Agriculture, fisheries, forestry and food	Farming
economy	6575	Economy and finance	Economy
Health: Reproductive health	6504	Health	Health
Energie	6487	Energy	
行財政	6485	Government and public sector	
Education: Efficiency	6483	Education, culture and sport	Society
Managing the transition	6380		
Adaptation	6380		
Transparenzgesetz	6280	Government and public sector	
OpenData	6280		
Education Management Information Systems (SABER)	6256	Education, culture and sport	Society
In-Situ	6232		
Justiz, Rechtssystem und öffentliche Sicherheit	6192	Justice, legal system and public safety	
Public Sector: Government finance: Revenue	6152	Economy and finance	Economy
{"de": "Bevölkerung und Gesellschaft", "en": "Population and society", "fr": "Population et société", "it": "Popolazione e società"}	6053	Population and society	Society
Law	5874	Government and public sector	
Economic Policy & Debt: External debt: Debt service	5862	Economy and finance	Economy
Infrastructure: Transportation	5831	Transport	Transportation
Transportation	5802	Transport	Transportation
Sector público	5726	Government and public sector	
Public Sector: Government finance: Deficit & financing	5654	Economy and finance	Economy
Coastal and Marine	5628	Environment	Oceans|Inland Waters
Private Sector & Trade: Trade facilitation	5452	Economy and finance	Economy
health	5348	Health	Health
Financial Sector: Assets	5283	Economy and finance	Economy
Agricultural Sciences	5274	Agriculture, fisheries, forestry and food	Farming
Financial Inclusion : Permitted Activities	5208	Economy and finance	Economy
Demografía	5185	Population and society	Society
Water	5039	Environment	Environment
Open Access	5011	Science and technology	
Public Sector: Government finance: Expense	4958	Economy and finance	Economy
Infrastructure: Technology	4953	Science and technology	
Economic Policy & Debt: External debt: Interest	4932	Economy and finance	Economy
Economic Policy & Debt: External debt: Disbursements	4924	Economy and finance	Economy
School Finance (SABER)	4896	Economy and finance	Economy
Computer and Information Science	4878	Science and technology	
South Africa	4872		
Poverty: Poverty rates	4852	Economy and finance	Economy
{"de": "Bildung, Kultur und Sport", "en": "Education, culture and sport", "fr": "Éducation, culture et sport", "it": "Istruzione, cultura e sport"}	4836	Education, culture and sport	Society
Economic Policy & Debt: External debt: Amortization	4804	Economy and finance	Economy
stat	4788		
Physical Points of Service	4774	Science and technology	
Legislación y justicia	4724	Justice, legal system and public safety	
Natural capital	4672		
Geographie, Geologie &Geodaten	4658	Environment	Environment
その他	4632		
Tertiary Education (SABER)	4624	Education, culture and sport	Society
Economic Policy & Debt: National accounts: Growth rates	4616	Economy and finance	Economy
Economic Policy & Debt: External debt: Net transfers	4556	Economy and finance	Economy
{"de": "Regierung und öffentlicher Sektor", "en": "Government and public sector", "fr": "Gouvernement et secteur public", "it": "Governo e settore pubblico"}	4476	Government and public sector	
